facility_id,source,name,address,lon,lat,hours_raw,schedule,accessible,all_gender,temporarily_closed,partial_service,record_count,source_url,notes,cluster_id,snap_distance_m
parks:29561,parks,Lithuania Park Washroom,155 Oakmount Rd,-79.46403823,43.659008029999995,9 a.m. to 10 p.m.,parsed,True,,True,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=125,Technical Issues; Both men's and women's washrooms are closed due to technical issues ,0,11.6
parks:37108,parks,Cherry Beach Clarke Beach Park Washroom,1 Cherry St,-79.34429281,43.6368796,9 a.m. to 10 p.m.,parsed,True,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=209,,1,71.4
parks:36442,parks,Humber Bay Park West Washroom,2225 Lake Shore Blvd  W,-79.48051239,43.61953924,9 a.m. to 10 p.m.,parsed,True,,True,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1074,"Maintenance/Repairs; Closed for necessary repairs. Anticipated reopening Thursday, July 23, 2026. Portable toilets located at exterior of building.",2,8.1
parks:13591,parks,Marie Curtis Park Beach Washroom,2 Forty Second St,-79.54142374,43.58573804,9 a.m. to 10 p.m.,parsed,True,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=6,,3,28.3
parks:29307,parks,Bluffer's Park Washroom,1 Brimley Rd  S,-79.23490536999999,43.70614828,9 a.m. to 10 p.m.,parsed,,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2,,4,16.8
parks:29300,parks,Bluffer's Park East Washroom,1 Brimley Rd  S,-79.22743337,43.71303079,9 a.m. to 10 p.m.,parsed,True,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2,,5,36.7
parks:29656,parks,Taylor Creek Park Washroom,260 Dawes Rd,-79.29838937,43.69664426,9 a.m. to 10 p.m.,parsed,True,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=29,,6,38.2
parks:13481,parks,Eglinton Flats Northwest Service Building Washroom,101 Emmett Ave,-79.50571924,43.685953979999994,9 a.m. to 10 p.m.,parsed,True,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=9,,7,113.3
parks:101973,parks,Centennial Park Etobicoke Picnic Site 6 Washroom,256 Centennial Park Rd,-79.59015171,43.65204841,9 a.m. to 10 p.m.,parsed,,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=798,,8,14.6
parks:34605,parks,Toronto Islands - Ward's Island Baseball Diamond Washroom,1 Centre Island Park,-79.35380865,43.63125968,None,unknown,True,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2039,,9,17.2
parks:29415,parks,Fred Hamilton Playground Washroom,155 Roxton Rd,-79.42039563,43.65272186,9 a.m. to 10 p.m.,parsed,True,,False,True,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=72,"Maintenance/Repairs; North side washroom closed, south side open.",10,8.3
parks:29443,parks,Harbour Square Park Lands Fieldhouse Washroom,25 Queens Quay W,-79.3758139,43.64008423,9 a.m. to 10 p.m.,parsed,True,,False,False,1,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=74,,11,85.9
