analysis_hash,candidate_id,action,ranking_group,name,lon,lat,source_reference,source_url,primary_rank,primary_unique_trips,primary_unique_routes,primary_active_stops,primary_events,distance_300_rank,distance_300_unique_trips,distance_300_unique_routes,distance_300_active_stops,distance_500_rank,distance_500_unique_trips,distance_500_unique_routes,distance_500_active_stops,rider_conditional_rank,rider_conditional_unique_trips,rider_conditional_unique_routes,rider_conditional_active_stops,normal_operations_rank,normal_operations_unique_trips,normal_operations_unique_routes,normal_operations_active_stops,optimistic_information_rank,optimistic_information_unique_trips,optimistic_information_unique_routes,optimistic_information_active_stops,saturday_rank,saturday_unique_trips,saturday_unique_routes,saturday_active_stops,hours,closure_category,access_condition,accessibility,partial_service,source_to_snap_metres,nearest_relevant,nearest_other_facilities,canonical_network_node,duplicate_flag,inferred_action,audit_map_path,audit_status,evidence_note,reviewer,reviewed_at
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:library:MD,extend_hours,extend,Mount Dennis library,-79.4882800,43.6865900,Phase 1 facilities.csv facility_id=library:MD,https://www.tpl.ca/mountdennis,1,125,12,23,319,1,80,7,6,1,132,12,30,1,108,11,17,1,125,12,23,not applicable,not applicable,not applicable,not applicable,1,118,12,23,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,none,unrestricted,unknown,false,13.2,library:MD:Mount Dennis library:77.3m,ttc:mount-dennis:Mount Dennis station:448.1m,"305737.742,4838503.875",false,extend,audit-maps/extend-hours_library_MD.png,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:library:SP,extend_hours,extend,Spadina Road library,-79.4046200,43.6676700,Phase 1 facilities.csv facility_id=library:SP,https://www.tpl.ca/spadina,2,75,4,10,85,9,48,4,6,4,79,4,13,2,75,4,10,2,75,4,10,not applicable,not applicable,not applicable,not applicable,2,68,4,10,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,none,unrestricted,unknown,false,20.1,library:SP:Spadina Road library:174.7m,,"312511.389,4836422.930",false,extend,audit-maps/extend-hours_library_SP.png,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:parks:45062,extend_hours,extend,York Recreation Centre Washroom,-79.4820346,43.6878729,Phase 1 facilities.csv facility_id=parks:45062,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3501,3,64,9,7,91,2,64,9,6,2,110,10,10,102,20,4,5,3,64,9,7,not applicable,not applicable,not applicable,not applicable,3,61,9,7,Mon Closed; Tue 7 a.m. to 10 p.m.; Wed 7 a.m. to 10 p.m.; Thu 7 a.m. to 10 p.m.; Fri 7 a.m. to 10 p.m.; Sat 7 a.m. to 8 p.m.; Sun 7 a.m. to 8 p.m.,none,unrestricted,unknown,false,27.5,parks:45062:York Recreation Centre Washroom:119.8m,crem:003257-B02:York Civic Centre:523.8m | ttc:mount-dennis:Mount Dennis station:538.1m,"306222.517,4838648.605",false,extend,audit-maps/extend-hours_parks_45062.png,valid,"Parks and City-hours source, coordinates, late closure, snap, and map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:library:ND,extend_hours,extend,Northern District library,-79.3997900,43.7082400,Phase 1 facilities.csv facility_id=library:ND,https://www.tpl.ca/northerndistrict,4,60,8,13,77,4,55,6,10,8,66,8,20,262,4,1,2,4,60,8,13,not applicable,not applicable,not applicable,not applicable,5,57,8,13,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,none,unrestricted,unknown,false,30.7,library:ND:Northern District library:127.2m,ttc:eglinton:Eglinton station:448.6m,"312883.556,4840895.026",false,extend,audit-maps/extend-hours_library_ND.png,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:library:RD,extend_hours,extend,Riverdale library,-79.3530900,43.6657100,Phase 1 facilities.csv facility_id=library:RD,https://www.tpl.ca/riverdale,5,60,6,16,174,3,59,6,13,12,62,6,21,3,60,6,16,5,60,6,16,not applicable,not applicable,not applicable,not applicable,4,58,6,16,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,none,unrestricted,unknown,false,19.0,library:RD:Riverdale library:32.7m,parks:29612:Riverdale Park East Fieldhouse Washroom :395.9m,"316666.536,4836210.131",false,extend,audit-maps/extend-hours_library_RD.png,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:parks:317,extend_hours,extend,East York Community Centre Washroom,-79.3492561,43.6917662,Phase 1 facilities.csv facility_id=parks:317,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=329,6,56,5,13,97,8,49,5,9,16,59,5,17,4,56,5,13,6,56,5,13,not applicable,not applicable,not applicable,not applicable,8,53,5,13,Mon Closed; Tue 7 a.m. to 10 p.m.; Wed 7 a.m. to 10 p.m.; Thu 7 a.m. to 10 p.m.; Fri 7 a.m. to 10 p.m.; Sat 9 a.m. to 8 p.m.; Sun 9 a.m. to 8 p.m.,none,unrestricted,unknown,false,25.1,parks:317:East York Community Centre Washroom:29.6m,,"316927.718,4839094.581",false,extend,audit-maps/extend-hours_parks_317.png,valid,"Parks and City-hours source, coordinates, late closure, snap, and map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:parks:29631,extend_hours,extend,Scarlett Woods Golf Course Washroom,-79.5001326,43.6835276,Phase 1 facilities.csv facility_id=parks:29631,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=401,8,55,5,6,63,5,55,5,4,24,55,5,7,6,55,5,6,8,55,5,6,not applicable,not applicable,not applicable,not applicable,15,48,4,6,9 a.m. to 10 p.m.,none,unrestricted,unknown,false,57.8,parks:29631:Scarlett Woods Golf Course Washroom:199.2m,parks:29401:Eglinton Flats Northwest Sports Pavilion Washroom:541.3m,"304773.038,4838229.970",false,extend,audit-maps/extend-hours_parks_29631.png,valid,"Parks source, listed 10 p.m. closure, plausible golf-course snap, and map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:library:DP,extend_hours,extend,Deer Park library,-79.3924200,43.6886300,Phase 1 facilities.csv facility_id=library:DP,https://www.tpl.ca/deerpark,9,53,5,11,70,10,46,5,6,14,60,5,18,7,53,5,11,9,53,5,11,not applicable,not applicable,not applicable,not applicable,10,52,5,11,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,none,unrestricted,unknown,false,7.0,library:DP:Deer Park library:120.5m,,"313474.447,4838740.231",false,extend,audit-maps/extend-hours_library_DP.png,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:library:LO,extend_hours,extend,Locke library,-79.4017600,43.7248800,Phase 1 facilities.csv facility_id=library:LO,https://www.tpl.ca/locke,10,52,5,18,89,6,51,5,12,25,54,6,21,8,52,5,18,10,52,5,18,not applicable,not applicable,not applicable,not applicable,11,51,5,18,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,none,unrestricted,unknown,false,18.8,library:LO:Locke library:52.6m,,"312696.473,4842771.878",false,extend,audit-maps/extend-hours_library_LO.png,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
aafebe1d0373fe78f878042aac41e0db6e07b0d1f7238d056cd83505072cdb2b,extend-hours:library:SL,extend_hours,extend,St. Lawrence library,-79.3683200,43.6501200,Phase 1 facilities.csv facility_id=library:SL,https://www.tpl.ca/stlawrence,11,52,4,19,136,7,50,4,10,19,57,5,24,9,52,4,19,11,52,4,19,not applicable,not applicable,not applicable,not applicable,17,47,4,19,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,none,unrestricted,unknown,false,7.4,library:SL:St. Lawrence library:72.0m,crem:000981-B03:St Lawrence South:331.6m | crem:000981-B04:St Lawrence North:346.3m | parks:2103:St. Lawrence Community Recreation Centre Washroom:403.6m,"315420.468,4834478.629",false,extend,audit-maps/extend-hours_library_SL.png,valid,"TPL source, Phase 1 coordinates, Tuesday hours, snap, and audit map agree.",FG03 audit,2026-07-25
