candidate_id,scenario_id,applicable,rank,unique_trips,unique_routes,active_stops,events
extend-hours:crem:000981-B03,primary,true,16,48,4,10,75
extend-hours:crem:000981-B03,distance-300,true,11,46,4,6,49
extend-hours:crem:000981-B03,distance-500,true,27,53,4,18,151
extend-hours:crem:000981-B03,rider-conditional,true,14,48,4,10,75
extend-hours:crem:000981-B03,normal-operations,true,16,48,4,10,75
extend-hours:crem:000981-B03,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:crem:000981-B03,saturday,true,19,47,4,10,73
extend-hours:crem:000981-B04,primary,true,13,50,4,10,91
extend-hours:crem:000981-B04,distance-300,true,12,46,4,5,46
extend-hours:crem:000981-B04,distance-500,true,29,53,4,17,149
extend-hours:crem:000981-B04,rider-conditional,true,11,50,4,10,91
extend-hours:crem:000981-B04,normal-operations,true,13,50,4,10,91
extend-hours:crem:000981-B04,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:crem:000981-B04,saturday,true,14,48,4,10,88
extend-hours:crem:001879-B01,primary,true,15,48,4,11,66
extend-hours:crem:001879-B01,distance-300,true,154,9,2,5,14
extend-hours:crem:001879-B01,distance-500,true,37,48,4,14,92
extend-hours:crem:001879-B01,rider-conditional,true,13,48,4,11,66
extend-hours:crem:001879-B01,normal-operations,true,15,48,4,11,66
extend-hours:crem:001879-B01,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:crem:001879-B01,saturday,true,18,47,4,11,61
extend-hours:crem:003257-B02,primary,true,30,42,5,9,49
extend-hours:crem:003257-B02,distance-300,true,157,9,2,2,9
extend-hours:crem:003257-B02,distance-500,true,33,50,7,13,72
extend-hours:crem:003257-B02,rider-conditional,true,26,42,5,9,49
extend-hours:crem:003257-B02,normal-operations,true,30,42,5,9,49
extend-hours:crem:003257-B02,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:crem:003257-B02,saturday,true,29,41,5,9,48
extend-hours:crem:003889-B04,primary,true,130,17,1,3,25
extend-hours:crem:003889-B04,distance-300,true,87,17,1,2,17
extend-hours:crem:003889-B04,distance-500,true,178,17,1,5,43
extend-hours:crem:003889-B04,rider-conditional,true,127,17,1,3,25
extend-hours:crem:003889-B04,normal-operations,true,130,17,1,3,25
extend-hours:crem:003889-B04,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:crem:003889-B04,saturday,true,133,16,1,3,24
extend-hours:crem:005581-B01,primary,true,184,11,2,10,25
extend-hours:crem:005581-B01,distance-300,true,148,10,2,6,14
extend-hours:crem:005581-B01,distance-500,true,226,11,2,12,29
extend-hours:crem:005581-B01,rider-conditional,true,182,11,2,10,25
extend-hours:crem:005581-B01,normal-operations,true,184,11,2,10,25
extend-hours:crem:005581-B01,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:crem:005581-B01,saturday,true,160,13,2,10,31
extend-hours:crem:City Hall|100 Queen Street West,primary,true,132,16,2,10,28
extend-hours:crem:City Hall|100 Queen Street West,distance-300,true,208,4,1,4,8
extend-hours:crem:City Hall|100 Queen Street West,distance-500,true,158,19,3,14,45
extend-hours:crem:City Hall|100 Queen Street West,rider-conditional,true,129,16,2,10,28
extend-hours:crem:City Hall|100 Queen Street West,normal-operations,true,132,16,2,10,28
extend-hours:crem:City Hall|100 Queen Street West,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:crem:City Hall|100 Queen Street West,saturday,true,119,17,2,10,31
extend-hours:crem:Metro Hall|55 John Street,primary,true,62,29,1,4,54
extend-hours:crem:Metro Hall|55 John Street,distance-300,true,40,28,1,3,40
extend-hours:crem:Metro Hall|55 John Street,distance-500,true,58,42,2,8,93
extend-hours:crem:Metro Hall|55 John Street,rider-conditional,true,58,29,1,4,54
extend-hours:crem:Metro Hall|55 John Street,normal-operations,true,62,29,1,4,54
extend-hours:crem:Metro Hall|55 John Street,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:crem:Metro Hall|55 John Street,saturday,true,87,25,1,4,50
extend-hours:library:AB,primary,true,235,6,1,3,8
extend-hours:library:AB,distance-300,true,187,6,1,2,6
extend-hours:library:AB,distance-500,true,88,30,3,12,53
extend-hours:library:AB,rider-conditional,true,232,6,1,3,8
extend-hours:library:AB,normal-operations,true,235,6,1,3,8
extend-hours:library:AB,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:library:AB,saturday,true,252,4,1,3,6
extend-hours:library:ACD,primary,true,185,11,2,8,21
extend-hours:library:ACD,distance-300,true,149,10,2,5,12
extend-hours:library:ACD,distance-500,true,225,11,2,12,33
extend-hours:library:ACD,rider-conditional,true,183,11,2,8,21
extend-hours:library:ACD,normal-operations,true,185,11,2,8,21
extend-hours:library:ACD,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:library:ACD,saturday,true,192,9,2,8,17
extend-hours:library:AG,primary,true,287,0,0,0,0
extend-hours:library:AG,distance-300,true,245,0,0,0,0
extend-hours:library:AG,distance-500,true,212,13,1,2,13
extend-hours:library:AG,rider-conditional,true,285,0,0,0,0
extend-hours:library:AG,normal-operations,true,287,0,0,0,0
extend-hours:library:AG,optimistic-information,false,not applicable,not applicable,not applicable,not applicable,not applicable
extend-hours:library:AG,saturday,true,287,0,0,0,0
